Line_Item_Quantity,Pack_Price,Unit_Price,Brand,Dosage_Form,Country,Dosage,Item_Description,Weight_Kilograms,PO_SO,Total_Cost
5964,8.61,0.14,Generic,Tablet - FDC,Vietnam,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",3509,SCMS-37170,64285.89
10560,6.9,0.12,Generic,Tablet - FDC,Vietnam,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",924,SCMS-37180,77232.73999999999
2352,8.61,0.14,Generic,Tablet - FDC,Vietnam,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",211,SCMS-31721,21182.91
524,41.1,0.14,Kaletra,Oral solution,Tanzania,80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",644,SCMS-38370,28247.22
8249,22.5,0.75,First Response,Test kit,Rwanda,300mg,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",2800,SCMS-38660,198562.09
200,23.67,0.79,Videx EC,Delayed-release capsules - blister,Nigeria,400mg,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",11,SCMS-39640,5206.28
80,9.5,0.16,Videx,Chewable/dispersible tablet,Haiti,50mg,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",43,SCMS-40000,1021.49
46,10.28,0.17,Generic,Tablet,Haiti,100/25mg,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",10,SCMS-40030,1367.03
20,350.0,3.5,OraQuick,Test kit,Botswana,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",48,SCMS-41870,8185.83
10240,41.1,0.34,Aluvia,Tablet,Côte d'Ivoire,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",2523,SCMS-42210,436495.37
400,38.36,0.11,Norvir,Capsule,Côte d'Ivoire,100mg,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",175,SCMS-42230,23017.04
60,350.0,3.5,OraQuick,Test kit,Haiti,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",144,SCMS-42720,24169.35
7500,80.0,0.8,Determine,Test kit,Kenya,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",2215,SCMS-42980,618011.31
6395,80.0,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1915,SCMS-43330,537117.07
55356,6.98,0.23,Generic,Tablet,Rwanda,600mg,"Efavirenz 600mg, tablets, 30 Tabs",4482,SCMS-43890,424546.93
1000,110.0,2.75,Genie,Test kit,Côte d'Ivoire,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",1101,SCMS-44130,118289.63
8,76.72,0.23,Norvir,Capsule,Vietnam,100mg,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",48,SCMS-44990,3981.0
3500,11.15,0.19,Generic,Tablet - FDC,Vietnam,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",1804,SCMS-45080,45443.369999999995
5,350.0,3.5,OraQuick,Test kit,Botswana,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",12,SCMS-46071,2437.85
67,75.0,3.0,Clearview,Test kit,Namibia,300mg,"HIV 1/2, Clearview Complete Kit, 25 Tests",48,SCMS-46120,5436.820000000001
400,7.0,0.12,Videx,Chewable/dispersible tablet,Vietnam,25mg,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",148,SCMS-46550,2819.85
220,32.0,1.6,Uni-Gold,Test kit,Namibia,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",79,SCMS-46820,8789.98
147,75.35,1.88,Genie,Test kit,Côte d'Ivoire,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",165,SCMS-1,12983.555
6,400.0,4.0,OraQuick,Test kit,Côte d'Ivoire,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",15,SCMS-5,3530.035
2800,7.0,0.12,Videx,Chewable/dispersible tablet,Vietnam,25mg,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",555,SCMS-12,22982.685
15,400.0,4.0,OraQuick,Test kit,Haiti,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",36,SCMS-74,7285.825
894,3.35,0.06,Generic,Tablet,Nigeria,150mg,"Lamivudine 150mg, tablets, 60 Tabs",479,SCMS-156,7946.575000000001
25100,11.0,0.18,Generic,Tablet - FDC,Vietnam,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",2575,SCMS-169,294963.475
95500,1.51,0.03,Generic,Capsule,Vietnam,30mg,"Stavudine 30mg, capsules, 60 Caps",9170,SCMS-170,186748.745
900,40.0,2.0,Uni-Gold,Test kit,Guyana,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",316,SCMS-177,41080.405000000006
70000,7.5,0.12,Generic,Tablet - FDC,Vietnam,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",6813,SCMS-262,556948.625
25000,7.5,0.12,Generic,Tablet - FDC,Vietnam,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",2348,SCMS-314,209239.59
375,76.0,1.9,Genie,Test kit,Nigeria,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",402,SCMS-343,33036.285
4650,80.0,0.8,Determine,Test kit,Ethiopia,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1707,SCMS-360,396949.985
3500,80.0,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1194,SCMS-695,286306.57
1000,1.92,0.01,Generic,Oral suspension,Vietnam,10mg/ml,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",960,SCMS-749,15685.48
3000,13.5,0.22,Generic,Tablet - FDC,Vietnam,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",332,SCMS-753,45019.420000000006
22500,12.33,0.41,Generic,Tablet,Vietnam,600mg,"Efavirenz 600mg, tablets, 30 Tabs",1955,SCMS-754,293964.27
500,82.19,0.68,Aluvia,Tablet,Vietnam,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",117,SCMS-757,42928.13
10000,20.0,0.8,Bioline,Test kit,Tanzania,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",3336,SCMS-10240,225485.3
1609,17.0,0.57,Viread,Tablet,Rwanda,300mg,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",157,SCMS-13900,35319.0
100,183.33,0.55,Norvir,Capsule,Vietnam,100mg,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",337,SCMS-14170,20897.730000000003
10000,27.0,1.35,Stat-Pak,Test kit,Nigeria,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",3336,SCMS-14640,298434.75
1099,27.5,0.46,Generic,Tablet,Rwanda,300mg,"Abacavir 300mg, tablets, 60 Tabs",113,SCMS-14750,31782.11
1200,1.75,0.03,Generic,Capsule,Vietnam,20mg,"Stavudine 20mg, capsules, 60 Caps",125,SCMS-14760,4533.21
650,79.99,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",148,SCMS-15550,54653.96
450,32.0,1.6,Uni-Gold,Test kit,Botswana,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",154,SCMS-16730,16919.66
10270,27.0,1.35,Stat-Pak,Test kit,Nigeria,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",2907,SCMS-16890,296598.02999999997
9000,32.0,1.6,Uni-Gold,Test kit,Mozambique,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",9000,SCMS-17800,344207.39
6040,32.0,1.6,Uni-Gold,Test kit,Zambia,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",2052,SCMS-18030,218278.25
289,27.0,1.35,Stat-Pak,Test kit,Côte d'Ivoire,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",79,SCMS-18320,8922.98
3000,71.99,0.72,Determine,Test kit,Mozambique,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",682,SCMS-18340,221614.44999999998
1116,70.0,0.7,Determine,Test kit,Côte d'Ivoire,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",255,SCMS-18450,83420.71
1116,70.0,0.7,Determine,Test kit,Côte d'Ivoire,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",256,SCMS-18470,85391.23999999999
832,32.0,1.6,Uni-Gold,Test kit,Guyana,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",832,SCMS-18490,30406.64
213,71.99,0.72,Determine,Test kit,Guyana,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",49,SCMS-18500,16317.86
10,350.0,3.5,OraQuick,Test kit,Botswana,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",39,SCMS-18550,4109.6
10080,2.9,0.05,Generic,Tablet,Vietnam,150mg,"Lamivudine 150mg, tablets, 60 Tabs",507,SCMS-20180,33438.22
6720,11.48,0.38,Generic,Tablet,Vietnam,600mg,"Efavirenz 600mg, tablets, 30 Tabs",522,SCMS-20340,81065.08
400,7.0,0.12,Videx,Chewable/dispersible tablet,Vietnam,25mg,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",81,SCMS-23370,5817.57
10780,1.45,0.02,Generic,Capsule,Vietnam,30mg,"Stavudine 30mg, capsules, 60 Caps",502,SCMS-23470,23231.61
1123,70.0,0.7,Determine,Test kit,Haiti,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",257,SCMS-23980,81615.8
340,139.0,1.39,Capillus,Test kit,Rwanda,300mg,"HIV 1/2, Capillus HIV Kit, 100 Tests",234,SCMS-25090,52781.68
47879,11.89,0.2,Generic,Tablet - FDC,Rwanda,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",5311,SCMS-25520,600600.2000000001
61021,11.89,0.2,Generic,Tablet - FDC,Rwanda,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",6768,SCMS-25520,764821.5099999999
18030,1.45,0.02,Generic,Capsule,Vietnam,30mg,"Stavudine 30mg, capsules, 60 Caps",1114,SCMS-26190,32007.77
3000,0.01,0.0,Generic,Test kit - Ancillary,Zambia,300mg,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",889,SCMS-27010,7333.570000000001
213,71.99,0.72,Determine,Test kit,Guyana,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",49,SCMS-27030,16411.31
6502,0.01,0.0,Generic,Test kit - Ancillary,Nigeria,300mg,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",1927,SCMS-27060,24935.17
6875,79.99,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",1566,SCMS-27070,570803.89
434,82.2,0.68,Aluvia,Tablet,Vietnam,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",113,SCMS-27290,38454.700000000004
1100,11.4,0.19,Generic,Tablet - FDC,Vietnam,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",159,SCMS-27310,15133.18
8400,10.19,0.34,Generic,Tablet,Vietnam,600mg,"Efavirenz 600mg, tablets, 30 Tabs",613,SCMS-27350,89011.5
3648,7.25,0.12,Generic,Tablet - FDC,Vietnam,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",323,SCMS-27380,28835.03
108,37.5,1.5,Paramax,Test kit,Guyana,300mg,"Malaria Paramax-3 Kit, 25 Tests",34,SCMS-27680,4706.21
5958,27.0,1.35,Stat-Pak,Test kit,Ethiopia,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",2147,SCMS-27800,172189.56000000003
3982,27.0,1.35,Stat-Pak,Test kit,Ethiopia,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",1445,SCMS-27800,115027.98
6998,23.0,23.0,Colloidal Gold,Test kit,Ethiopia,300mg,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",5057,SCMS-28710,205559.24
3470,23.0,23.0,Colloidal Gold,Test kit,Ethiopia,300mg,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",2509,SCMS-32630,99848.68
3510,23.0,23.0,Colloidal Gold,Test kit,Ethiopia,300mg,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",2535,SCMS-32640,103322.14
6000,2.9,0.05,Generic,Tablet,Vietnam,200mg,"Nevirapine 200mg, tablets, 60 Tabs",581,SCMS-33070,20087.37
5751,80.0,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1723,SCMS-33820,483433.43
3,75.0,3.0,Clearview,Test kit,Namibia,300mg,"HIV 1/2, Clearview Complete Kit, 25 Tests",3,SCMS-33850,1188.78
100,27.0,1.35,Stat-Pak,Test kit,Guyana,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",28,SCMS-36540,3397.67
68,32.0,1.6,Uni-Gold,Test kit,Namibia,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",22,SCMS-37060,3183.78
9000,2.4,0.04,Generic,Tablet,Vietnam,150mg,"Lamivudine 150mg, tablets, 60 Tabs",2228,SCMS-37160,31452.04
25000,50.4,1.68,Atripla,Tablet - FDC,Nigeria,600/200/300mg,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",2067,SCMS-37370,1270402.98
1680,70.0,0.7,Determine,Test kit,Haiti,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",382,SCMS-38160,121071.56
2100,5.0,0.05,Generic,Capsule,Haiti,100mg,"Zidovudine 100mg, capsules, 100 Caps",187,SCMS-39970,12424.119999999999
9000,72.0,0.72,Determine,Test kit,Mozambique,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",2655,SCMS-40370,674322.7699999999
60,18.34,0.61,Videx EC,Delayed-release capsules - blister,Uganda,250mg,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",3000,SCMS-41240,1531.4700000000003
7840,9.1,0.15,Generic,Tablet - FDC,Rwanda,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",719,SCMS-30312,72337.71
425,90.0,0.9,Determine,Test kit,Guyana,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",130,SCMS-42290,40184.76
276,90.0,0.9,Determine,Test kit,Guyana,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",87,SCMS-42320,26094.39
73,41.1,0.34,Aluvia,Tablet,Nigeria,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",69,SCMS-42830,4338.610000000001
5,32.0,1.6,Uni-Gold,Test kit,Kenya,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",2,SCMS-42970,12721.71
4995,32.0,1.6,Uni-Gold,Test kit,Kenya,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",4995,SCMS-42970,160428.29
2040,41.1,0.34,Aluvia,Tablet,Nigeria,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",309,SCMS-36892,87786.26
26932,11.79,0.2,Generic,Tablet - FDC,Rwanda,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",3393,SCMS-43880,348812.14
1000,110.0,2.75,Genie,Test kit,Côte d'Ivoire,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",1073,SCMS-44120,118329.71
800,70.0,0.7,Determine,Test kit,Namibia,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",195,SCMS-44960,58118.3
150,13.0,0.43,Generic,Delayed-release capsules,Vietnam,250mg,"Didanosine 250mg, delayed-release capsules, 30 Caps",30,SCMS-44980,6065.53
140,110.0,2.75,Genie,Test kit,Côte d'Ivoire,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",158,SCMS-45110,19748.39
2000,1.9,0.03,Generic,Chewable/dispersible tablet - FDC,Namibia,30/6mg,"Lamivudine/Stavudine 30/6mg, dispersible tablets, 60 Tabs",251,SCMS-45620,5292.2
2000,72.0,0.72,Determine,Test kit,Zambia,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",590,SCMS-42641,150273.03999999998
2733,82.19,0.68,Aluvia,Tablet,Guyana,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",589,SCMS-48690,225379.53999999998
100,75.35,1.88,Genie,Test kit,Côte d'Ivoire,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",107,SCMS-28,9471.275
45,175.0,1.75,Capillus,Test kit,Haiti,300mg,"HIV 1/2, Capillus HIV Kit, 100 Tests",29,SCMS-73,8819.875
1000,17.0,0.57,Viread,Tablet,Vietnam,300mg,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",61,SCMS-80,24773.225
906,21.05,0.09,Generic,Oral solution,Zambia,20mg/ml,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",316,SCMS-137,23012.635
38780,11.14,0.19,Generic,Tablet - FDC,Zambia,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",3217,SCMS-138,446464.02499999997
60784,16.75,0.56,Generic,Tablet,Zambia,600mg,"Efavirenz 600mg, tablets, 30 Tabs",11179,SCMS-163,1068047.105
1000,5.05,0.02,Generic,Oral solution,Vietnam,10mg/ml,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",3822,SCMS-168,30264.655
25,400.0,4.0,OraQuick,Test kit,Haiti,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",60,SCMS-276,11588.555
25000,7.5,0.12,Generic,Tablet - FDC,Vietnam,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",2336,SCMS-313,208950.56
