Line_Item_Quantity,Pack_Price,Unit_Price,Brand,Dosage_Form,Country,Dosage,Item_Description,Weight_Kilograms,PO_SO,Total_Cost
36451,8.15,0.14,Generic,Tablet - FDC,Tanzania,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",4611,SCMS-193850,318061.68
1973,4.0,0.07,Generic,Tablet - FDC,Zimbabwe,60/30mg,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",8894,SO-47250,8002.78
168,80.6,0.3,Invirase,Capsule,Mozambique,200mg,"Saquinavir 200mg [Invirase], capsules, 270 Caps",85,SO-33100,14706.84
21347,5.33,0.09,Generic,Tablet,Nigeria,300mg,"Zidovudine 300mg, tablets, 60 Tabs",1554,SO-49687,117479.48
93,84.3,0.7,Intelence,Tablet,Uganda,100mg,"Etravirine 100mg [Intelence], tablets, 120 Tabs",22,SCMS-109060,7992.839999999999
120000,8.0,0.27,Generic,Tablet,Zambia,600mg,"Efavirenz 600mg, tablets, 30 Tabs",20144,SO-29040,970163.2899999999
1652,6.49,0.11,Generic,Tablet - FDC,Vietnam,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",146,SCMS-199800,11481.63
15000,26.25,0.88,Truvada,Tablet - FDC,Nigeria,300/200mg,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",1365,SO-2680,404284.65
88433,8.26,0.14,Generic,Tablet - FDC,Nigeria,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",8935,SO-40725,752988.5599999999
3199,79.99,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",550,SCMS-16900,264511.02
60,30.82,0.1,Kaletra,Oral solution,"Congo, DRC",80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",113,SCMS-170640,3273.35
2000,3.81,0.13,Generic,Tablet,Côte d'Ivoire,600mg,"Efavirenz 600mg, tablets, 30 Tabs",4026,SO-42380,23308.66
92000,11.5,0.38,Generic,Tablet - FDC,Zambia,300/300mg,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",7678,SO-29080,1066832.96
23,60.82,0.2,Kaletra,Oral solution,Guyana,80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",53,SCMS-211570,2326.43
1717,12.42,0.41,Generic,Tablet,Uganda,600mg,"Efavirenz 600mg, tablets, 30 Tabs",151,SO-1123,22516.839999999997
3528,1.85,0.01,Generic,Oral solution,Haiti,10mg/ml,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",1296,SCMS-158630,15766.14
141,82.2,0.27,Kaletra,Oral solution,Guyana,80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",225,SCMS-71680,13447.02
22240,7.4,0.12,Generic,Tablet - FDC,Zimbabwe,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",2262,SO-1150,172203.84
6722,9.5,0.16,Generic,Tablet - FDC,Tanzania,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",634,SO-2001,65069.25
20,2.33,0.04,Generic,Tablet,"Congo, DRC",150mg,"Lamivudine 150mg, tablets, 60 Tabs",1,SO-41382,538.1
150000,8.1,0.13,Generic,Tablet - FDC,Tanzania,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",21674,SCMS-198770,1307180.0
807,66.6,0.55,Prezista,Tablet,Uganda,300mg,"Darunavir 300mg [Prezista], tablets, 120 Tabs",119,SCMS-244380,54123.39
5300,32.0,1.6,Uni-Gold,Test kit,Mozambique,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",1796,SCMS-17260,202308.81
12370,19.5,0.65,Generic,Tablet,Uganda,300/100mg,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",1652,SCMS-277510,248671.81
50,41.1,0.14,Kaletra,Oral solution,Haiti,80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",99,SCMS-40060,4763.610000000001
672,5.94,0.1,Generic,Tablet,Ghana,100/25mg,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",88,SCMS-249120,5468.19
200,70.0,0.7,Determine,Test kit,Namibia,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",45,SCMS-54920,24516.6
11169,19.36,0.16,Generic,Tablet,Côte d'Ivoire,200/50mg,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",13107,SO-49040,237270.55
1425,27.0,1.35,Stat-Pak,Test kit,Nigeria,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",483,SCMS-18940,44005.439999999995
15048,9.35,0.16,Generic,Tablet - FDC,Mozambique,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",1448,SO-15084,144587.87999999998
323,3.25,0.05,Generic,Tablet - FDC,Zimbabwe,30/60mg,"Lamivudine/Zidovudine 30/60mg, tablets, 60 Tabs",209,SO-39551,1553.97
9732,7.4,0.12,Generic,Tablet - FDC,Zimbabwe,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",911,SO-2790,74837.74
3000,4.04,0.13,Generic,Tablet,Côte d'Ivoire,300mg,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",188,SO-44120,13613.34
214,8.76,0.15,Generic,Tablet - FDC,Côte d'Ivoire,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",19,SO-27541,3011.3100000000004
10270,27.0,1.35,Stat-Pak,Test kit,Nigeria,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",2907,SCMS-16890,296598.02999999997
7150,2.1,0.01,Generic,Oral solution,Mozambique,10mg/ml,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",2778,SO-42950,34766.67
540,32.0,1.6,Uni-Gold,Test kit,Ethiopia,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",165,SCMS-244840,18740.199999999997
454,66.6,0.55,Prezista,Tablet,Uganda,300mg,"Darunavir 300mg [Prezista], tablets, 120 Tabs",79,SCMS-192180,30555.74
24765,8.11,0.14,Generic,Tablet - FDC,Côte d'Ivoire,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",2666,SO-46401,212278.68
99995,8.26,0.14,Generic,Tablet - FDC,Nigeria,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",11636,SO-41263,852348.6499999999
11990,24.0,0.8,Bioline,Test kit,Tanzania,300mg,"HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests",3997,SCMS-52770,316944.82
39680,5.54,0.18,Generic,Tablet - FDC,Nigeria,300/300mg,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",3329,SO-41923,247576.65000000002
30860,3.21,0.11,Generic,Tablet,Mozambique,600mg,"Efavirenz 600mg, tablets, 30 Tabs",19965,SO-48883,113930.01000000001
5709,20.5,0.17,Generic,Tablet - FDC + co-blister,Nigeria,150/300+200mg,"Lamivudine/Zidovudine+Nevirapine 150/300+200mg, tablets, co-blister, 60+60 Tabs",1238,SO-329,123558.315
4730,7.53,0.13,Generic,Tablet,Uganda,300mg,"Zidovudine 300mg, tablets, 60 Tabs",260,SO-33990,37585.549999999996
29593,9.5,0.16,Generic,Tablet - FDC,Côte d'Ivoire,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",10877,SO-1104,311750.31
2835,89.0,0.89,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1352,SCMS-155320,283952.77
10,350.0,3.5,OraQuick,Test kit,Botswana,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",39,SCMS-18550,4109.6
120,36.16,0.3,Aluvia,Tablet,Uganda,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",36,SCMS-53080,5373.389999999999
120,7.0,0.12,Videx,Chewable/dispersible tablet,Haiti,25mg,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",26,SCMS-138600,1416.35
69037,2.44,0.04,Generic,Tablet,Zimbabwe,200mg,"Nevirapine 200mg, tablets, 60 Tabs",4353,SO-40871,174258.33
8494,24.76,0.21,Generic,Tablet,Uganda,200/50mg,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",2089,SO-43520,227604.19
18000,6.73,0.11,Generic,Tablet - FDC,Rwanda,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",1643,SO-47830,134259.59
1400,22.5,0.75,Generic,Tablet,Côte d'Ivoire,300/100mg,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",364,SCMS-162550,35715.81
2915,0.0,0.0,Determine,Test kit,Tanzania,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1208,SCMS-189360,20583.37
1530,6.54,0.11,Generic,Tablet,Uganda,300mg,"Zidovudine 300mg, tablets, 60 Tabs",11337,SO-43890,33827.97
120099,11.22,0.19,Generic,Tablet - FDC,Mozambique,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",16015,SO-37520,1362655.89
1461,23.0,0.77,Generic,Tablet - FDC,Côte d'Ivoire,600/300mg,"Abacavir/Lamivudine 600/300mg, scored tablets, 30 Tabs",154,SCMS-52590,36655.020000000004
111,36.0,0.3,Intelence,Tablet,Uganda,100mg,"Etravirine 100mg [Intelence], tablets, 120 Tabs",24,SCMS-159280,4331.6
165,32.0,1.6,Uni-Gold,Test kit,Ethiopia,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",138,SCMS-133510,6082.12
4669,3.28,0.05,Generic,Tablet - FDC,Zimbabwe,150/30mg,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",357,SO-37842,17490.83
5800,11.4,0.19,Generic,Tablet - FDC,Nigeria,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",654,SO-32644,73695.40000000001
4800,3.33,0.11,Generic,Tablet,Zimbabwe,600mg,"Efavirenz 600mg, tablets, 30 Tabs",396,SO-43570,27137.43
1600,2.9,0.05,Generic,Tablet,Uganda,200mg,"Nevirapine 200mg, tablets, 60 Tabs",157,SO-35010,6251.5
57468,4.32,0.14,Generic,Tablet,Nigeria,600mg,"Efavirenz 600mg, tablets, 30 Tabs",4915,SO-39640,262069.45
4860,1.49,0.02,Generic,Capsule,Haiti,30mg,"Stavudine 30mg, capsules, 60 Caps",2034,SO-24840,30697.47
5060,11.4,0.19,Generic,Tablet - FDC,Nigeria,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",570,SO-33335,67138.55
32000,8.26,0.14,Generic,Tablet - FDC,Nigeria,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",3175,SO-39370,278154.17
4951,82.2,0.68,Aluvia,Tablet,Vietnam,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",1232,SCMS-106480,415752.61
1000,1.5,0.02,Generic,Capsule,Haiti,15mg,"Stavudine 15mg, capsules, 60 Caps",10435,SO-15930,122833.0
50000,12.01,0.4,Generic,Tablet,Zambia,600mg,"Efavirenz 600mg, tablets, 30 Tabs",3817,SO-2482,606040.2200000001
3480,2.26,0.04,Generic,Tablet,Zambia,200mg,"Nevirapine 200mg, tablets, 60 Tabs",424,SO-44474,19816.18
20000,3.75,0.06,Generic,Chewable/dispersible tablet - FDC,Zimbabwe,30/50/60mg,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",1920,SO-48442,80132.90000000001
240,19.36,0.16,Generic,Tablet,Burundi,200/50mg,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",58,SO-50291,5941.35
24470,29.68,0.25,Generic,Tablet,Nigeria,200/50mg,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",6808,SO-42333,748634.95
7600,3.89,0.06,Generic,Chewable/dispersible tablet - FDC,Côte d'Ivoire,30/50/60mg,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",415,SO-43371,32356.54
120,66.6,0.55,Prezista,Tablet,Haiti,300mg,"Darunavir 300mg [Prezista], tablets, 120 Tabs",26,SCMS-178730,8241.89
149997,9.81,0.16,Generic,Tablet - FDC,Mozambique,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",17605,SO-42840,1479856.6700000002
84,2.51,0.04,Generic,Tablet,Zambia,200mg,"Nevirapine 200mg, tablets, 60 Tabs",6,SO-39130,3613.52
35000,9.35,0.16,Generic,Tablet - FDC,Nigeria,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",3162,SO-23430,343019.77999999997
13907,11.15,0.37,Generic,Tablet - FDC,Vietnam,600/300/300mg,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",1578,SCMS-199820,157944.71
35,32.0,1.6,Uni-Gold,Test kit,Sudan,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",12,SCMS-120472,1768.6599999999999
6010,89.0,0.89,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",6010,SCMS-260700,565572.19
1,89.0,0.89,Determine,Test kit,Kenya,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1476,SCMS-153910,180.78
5530,82.2,0.68,Aluvia,Tablet,Vietnam,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",1348,SCMS-69220,466216.13
9072,8.55,0.14,Generic,Tablet - FDC,Vietnam,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",902,SCMS-68530,85154.64
9720,24.0,0.8,Bioline,Test kit,Tanzania,300mg,"HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests",3240,SCMS-52776,269833.99
24,32.0,1.6,Uni-Gold,Test kit,Ethiopia,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",8,SCMS-134710,1084.52
2268,2.33,0.04,Generic,Tablet,Mozambique,150mg,"Lamivudine 150mg, tablets, 60 Tabs",109,SO-39530,6441.8099999999995
28000,11.35,0.19,Generic,Tablet - FDC,Nigeria,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",3239,SO-33140,330060.53
33308,3.95,0.07,Generic,Tablet - FDC,Zambia,60/30mg,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",2803,SO-49601,135742.49000000002
2797,11.75,0.39,Generic,Tablet - FDC,Uganda,200/300mg,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",210,SO-36140,38777.53
1200,7.58,0.25,Generic,Delayed-release capsules,Côte d'Ivoire,250mg,"Didanosine 250mg, delayed-release capsules, 30 Caps",96,SCMS-228860,10615.4
2688,20.0,0.8,Bioline,Test kit,Kenya,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",965,SO-1599,54684.85
10000,11.22,0.19,Generic,Tablet - FDC,Nigeria,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",1250,SO-36433,118589.07999999999
98,12.59,0.06,Videx,Powder for oral solution,Haiti,2g,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",22,SCMS-176250,2053.34
160058,11.22,0.19,Generic,Tablet - FDC,Côte d'Ivoire,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",26409,SO-40121,1859246.7899999998
115745,11.22,0.19,Generic,Tablet - FDC,Uganda,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",15500,SO-37510,1384654.7899999998
2000,80.0,0.8,Determine,Test kit,Côte d'Ivoire,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",957,SCMS-131880,179143.88
3,8.0,0.08,Determine,Test kit - Ancillary,Sudan,300mg,"Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",2,SCMS-121850,1100.19
4157,1.43,0.01,Generic,Oral solution,Côte d'Ivoire,10mg/ml,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",1385,SO-47132,12388.380000000001
2500,72.0,0.72,Determine,Test kit,Zambia,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",740,SCMS-54620,187901.78999999998
90,2.44,0.04,Generic,Tablet,Uganda,150mg,"Lamivudine 150mg, tablets, 60 Tabs",5,SO-26151,757.35
20,95.0,3.8,Clearview,Test kit,Mali,300mg,"HIV 1/2, Clearview Complete Kit, 25 Tests",9,SCMS-182801,2681.41
18960,18.9,0.16,Aluvia,Tablet,Mozambique,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",4227,SO-47070,360972.19
4800,72.0,0.72,Determine,Test kit,Mozambique,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1417,SCMS-31750,359370.65
389,41.1,0.34,Aluvia,Tablet,Haiti,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",4639,SO-2055,63539.17
28624,9.35,0.16,Generic,Tablet - FDC,Côte d'Ivoire,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",2583,SO-19340,275767.66000000003
21709,4.7,0.16,Generic,Tablet - FDC,Uganda,300/300mg,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",1713,SO-45542,107749.81000000001
2700,7.4,0.12,Generic,Tablet - FDC,Uganda,150/200/30mg,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",199,SO-2343,21488.77
580,33.1,0.03,Generic,Tablet - FDC,"Congo, DRC",500/25mg,"Sulfadoxine/Pyrimethamine 500/25mg, tablets, 1000 Tabs",500,SCMS-275290,23178.879999999997
25,32.0,1.6,Uni-Gold,Test kit,South Sudan,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",175,SCMS-245230,4812.48
5000,7.9,0.13,Generic,Tablet,Ethiopia,300mg,"Zidovudine 300mg, tablets, 60 Tabs",229,SO-18340,41351.72
1021,30.82,0.1,Kaletra,Oral solution,Zimbabwe,80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",1013,SCMS-148310,44769.130000000005
2,8.0,0.08,Determine,Test kit - Ancillary,Sudan,300mg,"Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",2,SCMS-121852,996.73
672,16.0,0.18,Generic,Capsule,Zambia,200mg,"Efavirenz 200mg, capsule, 90 Caps",128,SO-1328,11614.2
20000,11.22,0.19,Generic,Tablet - FDC,Nigeria,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",2347,SO-35063,234619.91
20000,11.22,0.19,Generic,Tablet - FDC,Uganda,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",2560,SO-36090,245538.62
750,32.0,1.6,Uni-Gold,Test kit,Kenya,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",241,SO-18000,24235.04
152880,14.38,0.48,Generic,Tablet - FDC,Tanzania,600/200/300mg,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",17227,SO-42660,2208630.97
1800,25.0,0.83,Generic,Tablet,Côte d'Ivoire,300/100mg,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",225,SCMS-139100,48172.299999999996
1000,80.0,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",341,SCMS-592,82810.47
13000,8.76,0.15,Generic,Tablet - FDC,Uganda,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",1051,SO-32150,120678.9
3453,1.9,0.03,Generic,Chewable/dispersible tablet - FDC,Zimbabwe,30/6mg,"Lamivudine/Stavudine 30/6mg, dispersible tablets, 60 Tabs",687,SO-39280,9978.83
27847,3.95,0.07,Generic,Tablet - FDC,Zimbabwe,60/30mg,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",1153,SO-48470,111598.53
5360,5.94,0.1,Generic,Tablet,Nigeria,100/25mg,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",619,SCMS-185370,37383.79
6000,26.25,0.88,Truvada,Tablet - FDC,Nigeria,300/200mg,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",1566,SO-10820,168376.04
62219,8.37,0.14,Generic,Tablet - FDC,Cameroon,150/300/200mg,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",8297,SCMS-161700,582343.47
15500,11.15,0.37,Generic,Tablet - FDC,Vietnam,600/300/300mg,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",1745,SCMS-199820,177016.02
6000,80.0,0.8,Determine,Test kit,Zambia,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",2606,SCMS-189230,518948.02
